MAZOWIECKIE	5334511	2552091	2782420
ŚLĄSKIE	4585924	2212717	2373207
WIELKOPOLSKIE	3472579	1689486	1783093
MAŁOPOLSKIE	3368336	1634266	1734070
DOLNOŚLĄSKIE	2908457	1398554	1509903
ŁÓDZKIE	2504136	1193418	1310718
POMORSKIE	2302077	1121987	1180090
LUBELSKIE	2147746	1040990	1106756
PODKARPACKIE	2129187	1042683	1086504
KUJAWSKO-POMORSKIE	2089992	1012878	1077114
ZACHODNIOPOMORSKIE	1715431	835069	880362
WARMIŃSKO-MAZURSKIE	1443967	706988	736979
ŚWIĘTOKRZYSKIE	1263176	616670	646506
PODLASKIE	1191918	581164	610754
LUBUSKIE	1020307	496666	523641
OPOLSKIE	1000858	484182	516676
